arXiv:1108.0184, Title: Modelling Chaotic Data
arXiv:1108.0185, Title: OEM for least squares problems
arXiv:1108.0240, Title: Analysis of rolling group therapy data using conditionally  autoregressive priors
arXiv:1108.0251, Title: Cortical current source connectivity by means of partial coherence  fields
arXiv:1108.0298, Title: Network Model-Assisted Inference from Respondent-Driven Sampling Data
arXiv:1108.0301, Title: On the Concept of Snowball Sampling
arXiv:1108.0373, Title: Fast-rate and optimistic-rate error bounds for L1-regularized regression
arXiv:1108.0445, Title: Adaptive Gaussian Predictive Process Approximation
arXiv:1108.0453, Title: On the Evaluation Criterions for the Active Learning Processes
arXiv:1108.0484, Title: An Empirical Likelihood Approach to Nonparametric Covariate Adjustment  in Randomized Clinical Trials
arXiv:1108.0606, Title: Estimation and extrapolation of time trends in registry data---Borrowing  strength from related populations
arXiv:1108.0754, Title: Point process modeling of wildfire hazard in Los Angeles County,  California
arXiv:1108.0755, Title: Quantum Monte Carlo simulation
arXiv:1108.0757, Title: Risk Bounds for Embedded Variable Selection in Classification Trees
arXiv:1108.0766, Title: The mortality of the Italian population: Smoothing techniques on the  Lee--Carter model
arXiv:1108.0772, Title: Minimum divergence estimators, maximum likelihood and exponential  families
arXiv:1108.0793, Title: Bayesian hierarchical modeling for signaling pathway inference from  single cell interventional data
arXiv:1108.0822, Title: The effect of winning an Oscar Award on survival: Correcting for healthy  performer survivor bias with a rank preserving structural accelerated failure  time model
arXiv:1108.0853, Title: Asymptotic Conditional Distribution of Exceedance Counts: Fragility  Index with Different Margins
arXiv:1108.0895, Title: Accurate Estimators for Improving Minwise Hashing and b-Bit Minwise  Hashing
arXiv:1108.0921, Title: Local asymptotic normality in δ-neighborhoods of standard  generalized Pareto processes
arXiv:1108.0996, Title: Mean--variance portfolio optimization when means and covariances are  unknown
arXiv:1108.1019, Title: (U,V)-Ordering and a Duality Theorem for Risk Aversion and Lorenz-type  Orderings
arXiv:1108.1033, Title: Likelihood ratio tests for positivity in polynomial regressions
arXiv:1108.1074, Title: Variance estimation for nearest neighbor imputation for US Census long  form data
arXiv:1108.1079, Title: Online Variational Bayes Inference for High-Dimensional Correlated Data
arXiv:1108.1098, Title: Adjusted likelihood inference in an elliptical multivariate  errors-in-variables model
arXiv:1108.1223, Title: Incorporating Individual and Collective Ethics into Phase I Cancer Trial  Designs
arXiv:1108.1260, Title: Bias-corrected GEE estimation and smooth-threshold GEE variable  selection for single-index models with clustered data
arXiv:1108.1386, Title: Adaptive Optimal Signal (Cardiogram) Processing, with boundary values  and energy precisely measurement
arXiv:1108.1427, Title: Graph Classification using Signal-Subgraphs: Applications in Statistical  Connectomics
arXiv:1108.1483, Title: Algebraic Geometric Comparison of Probability Distributions
arXiv:1108.1494, Title: Gradient Flow from a Random Walk in Hilbert Space
arXiv:1108.1497, Title: Confounding of three binary-variables counterfactual model
arXiv:1108.1498, Title: Mixture latent autoregressive models for longitudinal data
arXiv:1108.1513, Title: Asymptotic behaviour of the S-stopped branching processes with countable  state space
arXiv:1108.1536, Title: Estimation in threshold autoregressive models with correlated  innovations
arXiv:1108.1614, Title: Bayesian phase I/II adaptively randomized oncology trials with combined  drugs
arXiv:1108.1647, Title: A note on gaussian distributions in R^n
arXiv:1108.1675, Title: On the Generating Functional of the special case of S-Stopped Branching  Processes
arXiv:1108.1680, Title: Copula Gaussian graphical models and their application to modeling  functional disability data
arXiv:1108.1766, Title: Activized Learning: Transforming Passive to Active with Improved Label  Complexity
arXiv:1108.1783, Title: An application of the stationary phase method for estimating probability  densities of function derivatives
arXiv:1108.1851, Title: The Role of the Range Parameter for Estimation and Prediction in  Geostatistics
arXiv:1108.1879, Title: Boundary detection in disease mapping studies
arXiv:1108.1884, Title: Estimation of Parameters in DNA Mixture Analysis
arXiv:1108.1885, Title: Survival ensembles by the sum of pairwise differences with application  to lung cancer microarray studies
arXiv:1108.1917, Title: Calibrated Bayes, for Statistics in General, and Missing Data in  Particular
arXiv:1108.1945, Title: Nonparametric kernel estimation of the error density
arXiv:1108.1961, Title: Adaptive Minimax Estimation over Sparse $\ell_q$-Hulls
arXiv:1108.1972, Title: Extremal dependence: some contributions
arXiv:1108.2120, Title: Objective Priors: An Introduction for Frequentists
arXiv:1108.2141, Title: Intrinsic Means on the Circle: Uniqueness, Locus and Asymptotics
arXiv:1108.2167, Title: Missing data in value-added modeling of teacher effects
arXiv:1108.2171, Title: A class of optimal tests for symmetry based on local Edgeworth  approximations
arXiv:1108.2177, Title: Bayesian Models and Methods in Public Policy and Government Settings
arXiv:1108.2228, Title: A consistent adjacency spectral embedding for stochastic blockmodel  graphs
arXiv:1108.2232, Title: A note on stochastic ordering of estimators of exponential reliability
arXiv:1108.2245, Title: Generalized Direct Sampling for Hierarchical Bayesian Models
arXiv:1108.2248, Title: A simple and objective method for reproducible resting state network  (RSN) detection in fMRI
arXiv:1108.2311, Title: Semigroups and sequential importance sampling for multiway tables and  beyond
arXiv:1108.2334, Title: Two-stage empirical likelihood for longitudinal neuroimaging data
arXiv:1108.2356, Title: Impact of Frequentist and Bayesian Methods on Survey Sampling Practice:  A Selective Appraisal
arXiv:1108.2401, Title: A More Powerful Two-Sample Test in High Dimensions using Random  Projection
arXiv:1108.2471, Title: Latent protein trees
arXiv:1108.2477, Title: Local degeneracy of Markov chain Monte Carlo methods
arXiv:1108.2720, Title: Latent Factor Models for Density Estimation
arXiv:1108.2722, Title: Bayes Variable Selection in Semiparametric Linear Models
arXiv:1108.2805, Title: Partition Decomposition for Roll Call Data
arXiv:1108.2835, Title: Estimation of Network structures from partially observed Markov random  fields
arXiv:1108.2836, Title: Adaptive sequential Monte Carlo by means of mixture of experts
arXiv:1108.2838, Title: Empirical Cummulative Density Function from a Univariate Censored Sample
arXiv:1108.2883, Title: Bayesian test of normality versus a Dirichlet process mixture  alternative
arXiv:1108.2986, Title: Tests for multivariate normality based on canonical correlations
arXiv:1108.2989, Title: A theory of multiclass boosting
arXiv:1108.2999, Title: Dual $φ$-divergences estimation in normal models
arXiv:1108.3136, Title: Estimation of limiting conditional distributions for the heavy tailed  long memory stochastic volatility process
arXiv:1108.3137, Title: Adaptive Markov Chain Monte Carlo Forward Simulation for Statistical  Analysis in Epidemic Modelling of Human Papillomavirus
arXiv:1108.3168, Title: Statistical Analysis in Genetic Studies of Mental Illnesses
arXiv:1108.3177, Title: Detecting simultaneous variant intervals in aligned sequences
arXiv:1108.3180, Title: An adaptively weighted statistic for detecting differential gene  expression when combining multiple transcriptomic studies
arXiv:1108.3187, Title: The generalized shrinkage estimator for the analysis of functional  connectivity of brain signals
arXiv:1108.3234, Title: Estimating Random Effects via Adjustment for Density Maximization
arXiv:1108.3259, Title: A review and comparison of strategies for multi-step ahead time series  forecasting based on the NN5 forecasting competition
arXiv:1108.3262, Title: Bayesian Inference in Nonparametric Dynamic State-Space Models
arXiv:1108.3325, Title: Retaining positive definiteness in thresholded matrices
arXiv:1108.3372, Title: Overlapping Mixtures of Gaussian Processes for the Data Association  Problem
arXiv:1108.3410, Title: Minimum Mean Square Error Estimation Under Gaussian Mixture Statistics
arXiv:1108.3423, Title: Likelihood-Free Parallel Tempering
arXiv:1108.3457, Title: Discussion of "Calibrated Bayes, for Statistics in General, and Missing  Data in Particular" by R. J. A. Little
arXiv:1108.3461, Title: Discussion of "Calibrated Bayes, for Statistics in General, and Missing  Data in Particular" by R. J. A. Little
arXiv:1108.3466, Title: Rejoinder
arXiv:1108.3467, Title: Discussion of "Objective Priors: An Introduction for Frequentists" by M.  Ghosh
arXiv:1108.3473, Title: Discussion of "Objective Priors: An Introduction for Frequentists" by M.  Ghosh
arXiv:1108.3474, Title: Rejoinder
arXiv:1108.3520, Title: Mixtures of g-Priors for Generalised Additive Model Selection with  Penalised Splines
arXiv:1108.3552, Title: Estimation in Functional Regression for General Exponential Families
arXiv:1108.3585, Title: Some properties of the moment estimator of shape parameter for the gamma  distribution
arXiv:1108.3586, Title: Order preserving property of moment estimators
arXiv:1108.3596, Title: Assortment Optimization Under General Choice
arXiv:1108.3657, Title: Discussion of "Bayesian Models and Methods in Public Policy and  Government Settings" by S. E. Fienberg
arXiv:1108.3755, Title: New Error Analysis for Lasso
arXiv:1108.3829, Title: Exact covariance thresholding into connected components for large-scale  Graphical Lasso
arXiv:1108.3904, Title: Shrinkage Estimation and Selection for Multiple Functional Regression
arXiv:1108.3910, Title: Automated analysis of quantitative image data using isomorphic  functional mixed models, with application to proteomics data
arXiv:1108.3912, Title: Discussion of "Bayesian Models and Methods in Public Policy and  Government Settings" by S. E. Fienberg
arXiv:1108.3913, Title: Sampling from a Bayesian Menu
arXiv:1108.3914, Title: Rejoinder
arXiv:1108.3919, Title: Discussion of "Impact of Frequentist and Bayesian Methods on Survey  Sampling Practice: A Selective Appraisal" by J. N. K. Rao
arXiv:1108.3931, Title: Discussion of "Impact of Frequentist and Bayesian Methods on Survey  Sampling Practice: A Selective Appraisal" by J. N. K. Rao
arXiv:1108.3938, Title: Discussion of "Impact of Frequentist and Bayesian Methods on Survey  Sampling Practice: A Selective Appraisal" by J. N. K. Rao
arXiv:1108.3940, Title: Rejoinder
arXiv:1108.3941, Title: Discussion of "Estimating Random Effects via Adjustment for Density  Maximization" by C. Morris and R. Tang
arXiv:1108.3946, Title: Discussion of "Estimating Random Effects via Adjustment for Density  Maximization" by C. Morris and R. Tang
arXiv:1108.3953, Title: Rejoinder
arXiv:1108.3968, Title: Online Expectation Maximization based algorithms for inference in hidden  Markov models
arXiv:1108.3988, Title: Linear Variance Bounds for Particle Approximations of Time-Homogeneous  Feynman-Kac Formulae
arXiv:1108.4126, Title: Chi-square and classical exact tests often wildly misreport  significance; the remedy lies in computers
arXiv:1108.4130, Title: Supplement paper to "Online Expectation Maximization based algorithms  for inference in hidden Markov models"
arXiv:1108.4146, Title: Simulation-based optimal Bayesian experimental design for nonlinear  systems
arXiv:1108.4215, Title: Precise Computation of Position Accuracy in GNSS Systems
arXiv:1108.4324, Title: Sparse Estimation using Bayesian Hierarchical Prior Modeling for Real  and Complex Linear Models
arXiv:1108.4739, Title: Variable selection and sensitivity analysis using dynamic trees, with an  application to computer code performance tuning
arXiv:1108.4746, Title: Designing Attractive Models via Automated Identification of Chaotic and  Oscillatory Dynamical Regimes
arXiv:1108.4848, Title: Compound p-Value Statistics for Multiple Testing Procedures
arXiv:1108.4879, Title: Using Supervised Learning to Improve Monte Carlo Integral Estimation
arXiv:1108.4912, Title: The Importance of Prior Choice in Model Selection: a Density Dependence  Example
arXiv:1108.4920, Title: Classification based on a permanental process with cyclic approximation
arXiv:1108.4988, Title: A General Theory of Concave Regularization for High Dimensional Sparse  Estimation Problems
arXiv:1108.5116, Title: Sparse Estimation by Exponential Weighting
arXiv:1108.5185, Title: Function Based Nonlinear Least Squares and Application to  Jelinski--Moranda Software Reliability Model
arXiv:1108.5244, Title: Semi-supervised logistic discrimination via labeled data and unlabeled  data from different sampling distributions
arXiv:1108.5262, Title: On least favorable configurations for step-up-down tests
arXiv:1108.5308, Title: Correlation Angles and Inner Products: Application to a Problem from  Physics
arXiv:1108.5314, Title: On frequency estimation of periodic ergodic diffusion process
arXiv:1108.5338, Title: Penalized Q-Learning for Dynamic Treatment Regimes
arXiv:1108.5341, Title: Optimal rates of convergence for convex set estimation from support  functions
arXiv:1108.5364, Title: Phylogenetic Ornstein-Uhlenbeck regression curves
arXiv:1108.5395, Title: Noise Covariance Properties in Dual-Tree Wavelet Decompositions
arXiv:1108.5397, Title: Prediction of peptide bonding affinity: kernel methods for nonlinear  modeling
arXiv:1108.5520, Title: A sentiment analysis of Singapore Presidential Election 2011 using  Twitter data with census correction
arXiv:1108.5533, Title: A Remark on the Lasso and the Dantzig Selector
arXiv:1108.5838, Title: Off-grid Direction of Arrival Estimation Using Sparse Bayesian Inference
arXiv:1108.5878, Title: Biosensor Arrays for Estimating Molecular Concentration in Fluid Flows
arXiv:1108.5928, Title: A shrinkage probability hypothesis density filter for multitarget  tracking
arXiv:1108.5939, Title: Estimating the number of zero-one multi-way tables via sequential  importance sampling
arXiv:1108.6032, Title: Likelihood inference for Archimedean copulas
arXiv:1108.6094, Title: Dimension Reduction Using Rule Ensemble Machine Learning Methods: A  Numerical Study of Three Ensemble Methods
