arXiv:1411.0030, Title: A* Sampling
arXiv:1411.0031, Title: Likelihood-Based Inference for Discretely Observed Birth-Death-Shift  Processes, with Applications to Evolution of Mobile Genetic Elements
arXiv:1411.0045, Title: Computation of Standardized Residuals for MARSS Models
arXiv:1411.0073, Title: Learning Mixed Multinomial Logit Model from Ordinal Data
arXiv:1411.0081, Title: High Dimensional Correlation Matrices: CLT and Its Applications
arXiv:1411.0086, Title: High-order Composite Likelihood Inference for Max-Stable Distributions  and Processes
arXiv:1411.0183, Title: Data-Efficient Quickest Outlying Sequence Detection in Sensor Networks
arXiv:1411.0229, Title: A unified framework for the study of the PLS estimator's properties
arXiv:1411.0254, Title: Variational Inference for Gaussian Process Modulated Poisson Processes
arXiv:1411.0282, Title: Noisy Matrix Completion under Sparse Factor Models
arXiv:1411.0288, Title: A General Framework for Mixed Graphical Models
arXiv:1411.0292, Title: Population Empirical Bayes
arXiv:1411.0306, Title: Fast Randomized Kernel Methods With Statistical Guarantees
arXiv:1411.0393, Title: Heteroscedastic semiparametric transformation models: estimation and  testing for validity
arXiv:1411.0408, Title: On the practical interest of discrete Inverse Polya and Weibull-1 models  in industrial reliability studies
arXiv:1411.0414, Title: Nonparametric estimation of extremal dependence
arXiv:1411.0416, Title: Spatio-Temporal Analysis of Epidemic Phenomena Using the R Package  surveillance
arXiv:1411.0433, Title: Set estimation from reflected Brownian motion
arXiv:1411.0439, Title: Sampling for Inference in Probabilistic Models with Fast Bayesian  Quadrature
arXiv:1411.0515, Title: Efficient pointwise estimation based on discrete data in ergodic  nonparametric diffusions
arXiv:1411.0539, Title: A note on Bayesian logistic regression for spatial exponential family  Gibbs point processes
arXiv:1411.0560, Title: Multivariate response and parsimony for Gaussian cluster-weighted models
arXiv:1411.0564, Title: Statistical performance analysis of a fast super-resolution technique  using noisy translations
arXiv:1411.0589, Title: Modular proximal optimization for multidimensional total-variation  regularization
arXiv:1411.0599, Title: Dynamic spatial regression models for space-varying forest stand tables
arXiv:1411.0606, Title: clustvarsel: A Package Implementing Variable Selection for Model-based  Clustering in R
arXiv:1411.0630, Title: Active Inference for Binary Symmetric Hidden Markov Models
arXiv:1411.0647, Title: Multiple Imputation Using Gaussian Copulas
arXiv:1411.0707, Title: A Nonparametric Adaptive Nonlinear Statistical Filter
arXiv:1411.0764, Title: A Bayesian Multivariate Functional Dynamic Linear Model
arXiv:1411.0793, Title: Bayesian two-step estimation in differential equation models
