arXiv:1805.00119, Title: Risk-Averse Classification
arXiv:1805.00184, Title: Compact Factorization of Matrices Using Generalized Round-Rank
arXiv:1805.00189, Title: Exploring the Accuracy of MIRT Scale Linking Procedures for Mixed-format  Tests
arXiv:1805.00194, Title: Intrinsic Complexity And Scaling Laws: From Random Fields to Random  Vectors
arXiv:1805.00306, Title: Modeling Risk and Return using Dirichlet Process Prior
arXiv:1805.00318, Title: Separable correlation and maximum likelihood
arXiv:1805.00389, Title: Adaptive group-regularized logistic elastic net regression
arXiv:1805.00414, Title: A Discrete View of the Indian Monsoon to Identify Spatial Patterns of  Rainfall
arXiv:1805.00420, Title: Spatio-temporal Patterns of Indian Monsoon Rainfall
arXiv:1805.00450, Title: Classification on convex sets in the presence of missing covariates
arXiv:1805.00533, Title: Sign-Full Random Projections
arXiv:1805.00541, Title: Scalable Importance Tempering and Bayesian Variable Selection
arXiv:1805.00550, Title: Transporting inferences from a randomized trial to a new target  population
arXiv:1805.00555, Title: A general framework for modelling zero inflation
arXiv:1805.00649, Title: Flexible Density Tempering Approaches for State Space Models with an  Application to Factor Stochastic Volatility Models
arXiv:1805.00692, Title: Compressed Dictionary Learning
arXiv:1805.00726, Title: Emulation of utility functions over a set of permutations: sequencing  reliability growth tasks
arXiv:1805.00753, Title: Gaussian Process Forecast with multidimensional distributional entries
arXiv:1805.00779, Title: COBRAS-TS: A new approach to Semi-Supervised Clustering of Time Series
arXiv:1805.00811, Title: An Evaluation of Classification and Outlier Detection Algorithms
arXiv:1805.00829, Title: Selection of proposal distributions for generalized importance sampling  estimators
arXiv:1805.00861, Title: Modelling cross-dependencies between Spain's regional tourism markets  with an extension of the Gaussian process regression model
arXiv:1805.00868, Title: A Dynamic Model for Traffic Flow Prediction Using Improved DRN
arXiv:1805.00871, Title: Undersampled dynamic X-ray tomography with dimension reduction Kalman  filter
arXiv:1805.00874, Title: IRT scoring and the principle of consistent order
arXiv:1805.00875, Title: Chain effects of clean water: The Mills-Reincke phenomenon in early  twentieth-century Japan
arXiv:1805.00878, Title: Modelling tourism demand to Spain with machine learning techniques. The  impact of forecast horizon on model selection
arXiv:1805.00899, Title: AI safety via debate
arXiv:1805.00915, Title: Neural Networks as Interacting Particle Systems: Asymptotic Convexity of  the Loss Landscape and Universal Scaling of the Approximation Error
arXiv:1805.00917, Title: A Scalable Discrete-Time Survival Model for Neural Networks
arXiv:1805.01010, Title: Toward a diagnostic toolkit for linear models with Gaussian-process  distributed random effects
arXiv:1805.01045, Title: Alpha-Beta Divergence For Variational Inference
arXiv:1805.01078, Title: Exploration of Numerical Precision in Deep Neural Networks
arXiv:1805.01104, Title: Deep Factor Alpha
arXiv:1805.01124, Title: A Coefficient of Determination (R2) for Linear Mixed Models
arXiv:1805.01157, Title: Graph Bayesian Optimization: Algorithms, Evaluations and Applications
arXiv:1805.01174, Title: Optimization of computational budget for power system risk assessment
arXiv:1805.01271, Title: NFL Injuries Before and After the 2011 Collective Bargaining Agreement  (CBA)
arXiv:1805.01284, Title: REMI: Regression with marginal information and its application in  genome-wide association studies
arXiv:1805.01291, Title: Benford or not Benford: new results on digits beyond the first
arXiv:1805.01345, Title: Conjectures on Optimal Nested Generalized Group Testing Algorithm
arXiv:1805.01417, Title: A generalized spatial sign covariance matrix
arXiv:1805.01422, Title: Geometrizing rates of convergence under differential privacy constraints
arXiv:1805.01500, Title: Noisin: Unbiased Regularization for Recurrent Neural Networks
arXiv:1805.01575, Title: Efficient methods for the estimation of the multinomial parameter for  the two-trait group testing model
arXiv:1805.01577, Title: Local angles and dimension estimation from data on manifolds
arXiv:1805.01586, Title: Data-Driven Exploration of Factors Affecting Federal Student Loan  Repayment
arXiv:1805.01603, Title: A Customer Choice Model with HALO Effect
